public_reference,mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
2.02E+14,0,,Grey,Volvo,XC90,NEW,,73970,SUV,FALSE,Petrol Plug-in Hybrid
2.02E+14,108230,61,Blue,Jaguar,XF,USED,2011,7000,Saloon,FALSE,Diesel
2.02E+14,7800,17,Grey,SKODA,Yeti,USED,2017,14000,SUV,FALSE,Petrol
2.02E+14,45000,16,Brown,Vauxhall,Mokka,USED,2016,7995,Hatchback,FALSE,Diesel
2.02E+14,64000,64,Grey,Land Rover,Range Rover Sport,USED,2015,26995,SUV,FALSE,Diesel
2.02E+14,16000,17,Blue,Audi,S5,USED,2017,29000,Convertible,FALSE,Petrol
2.02E+14,24075,17,Red,Vauxhall,Viva,USED,2017,5861,Hatchback,FALSE,Petrol
2.02E+14,99000,13,Bronze,Land Rover,Range Rover,USED,2013,24475,SUV,FALSE,Diesel
2.02E+14,111236,8,Black,Mercedes-Benz,S Class,USED,2008,6995,Limousine,FALSE,Diesel
2.02E+14,9500,19,White,Land Rover,Range Rover,USED,2019,79995,SUV,FALSE,Diesel
2.02E+14,77000,60,Grey,Volkswagen,Passat,USED,2010,4499,Saloon,FALSE,Diesel
2.02E+14,24487,17,Black,Peugeot,208,USED,2017,8795,Hatchback,FALSE,Petrol
2.02E+14,4765,69,White,SKODA,Octavia,USED,2019,16990,Estate,FALSE,Petrol
2.02E+14,18214,19,Silver,SEAT,Leon,USED,2019,14290,Hatchback,FALSE,Petrol
2.02E+14,31534,17,Grey,MINI,Hatch,USED,2017,19000,Hatchback,FALSE,Petrol
2.02E+14,38603,16,Blue,BMW,2 Series Gran Tourer,USED,2016,16000,MPV,FALSE,Diesel
2.02E+14,52023,66,Blue,Volkswagen,Golf,USED,2016,13500,Estate,FALSE,Diesel
2.02E+14,5,,,Nissan,X-Trail,NEW,,27595,SUV,FALSE,Diesel
2.02E+14,29500,12,Grey,Mercedes-Benz,C Class,USED,2012,9495,Saloon,FALSE,Petrol
2.02E+14,0,,White,Volkswagen,T-Cross,NEW,,25000,SUV,FALSE,Petrol
2.02E+14,35300,18,Grey,Vauxhall,Corsa,USED,2018,7293,Hatchback,FALSE,Petrol
2.02E+14,47299,65,Black,Nissan,Qashqai,USED,2016,11500,SUV,FALSE,Diesel
2.02E+14,3354,19,Blue,SKODA,Citigo,USED,2019,7999,Hatchback,FALSE,Petrol
2.02E+14,90000,9,Silver,Mitsubishi,Colt,USED,2009,1795,Hatchback,FALSE,Petrol
2.02E+14,98000,12,Black,Vauxhall,Astra GTC,USED,2012,3795,Coupe,FALSE,Diesel
2.02E+14,49585,,,Ferrari,308,USED,1984,54475,Convertible,FALSE,Petrol
2.02E+14,2802,19,Grey,Citroen,Grand C4 SpaceTourer,USED,2019,16995,MPV,FALSE,Petrol
2.02E+14,7990,19,Black,Toyota,Yaris,USED,2019,11147,Hatchback,FALSE,Petrol
2.02E+14,11961,19,Red,Volvo,XC60,USED,2019,32995,SUV,FALSE,Diesel Hybrid
2.02E+14,73000,61,Grey,Toyota,Verso,USED,2011,4290,MPV,FALSE,Diesel
2.02E+14,17020,17,Grey,Vauxhall,Corsa,USED,2017,6795,Hatchback,FALSE,Petrol
2.02E+14,7989,18,Blue,Kia,Sorento,USED,2018,30000,SUV,FALSE,Diesel
2.02E+14,180000,64,White,SKODA,Octavia,USED,2014,3989,Hatchback,FALSE,Diesel
2.02E+14,4445,69,White,Volvo,V40,USED,2019,16980,Hatchback,FALSE,Diesel
2.02E+14,12999,69,White,Peugeot,208,USED,2019,9995,Hatchback,FALSE,Petrol
2.02E+14,5000,69,Blue,SKODA,Octavia,USED,2019,12490,Hatchback,FALSE,Diesel
2.02E+14,3699,69,White,Renault,Koleos,USED,2019,24899,SUV,FALSE,Diesel
2.02E+14,0,,White,Fiat,Panda,NEW,,13999,Hatchback,FALSE,Petrol
2.02E+14,10900,19,Blue,Volvo,V60,USED,2019,28500,Estate,FALSE,Petrol
2.02E+14,35000,64,Black,Volkswagen,Golf,USED,2014,14500,Hatchback,FALSE,Diesel
2.02E+14,79485,10,White,BMW,5 Series Gran Turismo,USED,2010,11995,Hatchback,FALSE,Petrol
2.02E+14,40490,14,Red,Audi,A3,USED,2014,12870,Hatchback,FALSE,Petrol
2.02E+14,4189,18,Black,Peugeot,108,USED,2018,8495,Hatchback,FALSE,Petrol
2.02E+14,2000,69,Red,Honda,Jazz,USED,2019,14640,Hatchback,FALSE,Petrol
2.02E+14,0,,,Honda,Civic,NEW,,19495,Hatchback,FALSE,Petrol
2.02E+14,0,,Grey,Volvo,S60,NEW,,40264,Saloon,FALSE,Petrol
2.02E+14,19000,18,Black,Mercedes-Benz,E Class,USED,2018,32980,Saloon,FALSE,Petrol Plug-in Hybrid
2.02E+14,67440,3,Blue,Jaguar,XK8,USED,2003,12500,Convertible,FALSE,Petrol
2.02E+14,61760,9,Silver,Vauxhall,Corsa,USED,2009,2295,Hatchback,FALSE,Petrol
2.02E+14,37000,66,Grey,BMW,7 Series,USED,2016,30995,Saloon,FALSE,Diesel
2.02E+14,0,,Grey,Fiat,500,NEW,,11700,Hatchback,FALSE,Petrol
2.02E+14,64785,61,Silver,Volkswagen,Polo,USED,2011,4995,Hatchback,FALSE,Diesel
2.02E+14,117420,61,Silver,Vauxhall,Astra,USED,2011,2295,Estate,FALSE,Diesel
2.02E+14,7066,67,Purple,Volkswagen,Caddy Life,USED,2017,17975,MPV,TRUE,Petrol
2.02E+14,30000,18,Red,Vauxhall,Insignia,USED,,11990,Hatchback,FALSE,Petrol
2.02E+14,27000,63,Silver,Land Rover,Range Rover,USED,2013,38995,SUV,FALSE,Diesel Hybrid
2.02E+14,47000,16,Black,Audi,A1,USED,2016,9800,Hatchback,FALSE,Petrol
2.02E+14,10,,White,BMW,3 Series,NEW,,38905,Estate,FALSE,Diesel
2.02E+14,29000,65,Grey,Citroen,C1,USED,2015,5495,Hatchback,FALSE,Petrol
2.02E+14,58000,61,White,Bentley,Continental,USED,2011,39990,Coupe,FALSE,Petrol
2.02E+14,38000,65,Black,Vauxhall,Mokka,USED,2015,8495,Hatchback,FALSE,Diesel
2.02E+14,43395,63,Black,Audi,Q3,USED,2013,11699,SUV,FALSE,Diesel
2.02E+14,85608,15,Red,Audi,S4,USED,2015,16000,Saloon,FALSE,Petrol
2.02E+14,117000,9,Blue,BMW,X5,USED,2009,9495,SUV,FALSE,Diesel
2.02E+14,62000,64,Silver,Nissan,Note,USED,2014,5195,Hatchback,FALSE,Diesel
2.02E+14,5827,68,Red,Vauxhall,Corsa,USED,2018,10000,Hatchback,FALSE,Petrol
2.02E+14,20853,18,Green,DS AUTOMOBILES,DS 3,USED,2018,8997,Hatchback,FALSE,Petrol
2.02E+14,21474,67,Grey,Volvo,XC90,USED,2018,34950,SUV,FALSE,Diesel
2.02E+14,10763,17,Green,MINI,Hatch,USED,2017,15490,Hatchback,FALSE,Petrol
2.02E+14,28270,64,Red,Kia,Soul,USED,2014,6999,SUV,FALSE,Diesel
